id_compteur,nom_compteur,id,name,channel_id,channel_name,installation_date,counter,latitud,longitud
100056040-101056040,129 rue Lecourbe SO-NE,100056040,rue Lecourbe,101056040,SO-NE,2019-10-30,Y2H21015067,48.84222,2.30102
100056041-101056041,147 avenue d'Italie S-N,100056041,avenue d'Italie,101056041,S-N,2019-12-10,Y2H22125281,48.82009,2.3588
100056042-101056042,33 avenue des Champs Elysées NO-SE,100056042,avenue des Champs Elysées,101056042,NO-SE,2019-10-30,Y2H19070354,48.86999,2.30722
100056044-101056044,132 rue Lecourbe NE-SO,100056044,rue Lecourbe,101056044,NE-SO,2019-10-30,Y2H19070359,48.84209,2.30115
100056045-101056045,Pont de la Concorde N-S,100056045,Pont de la Concorde,101056045,N-S,2019-11-08,Y2H20083602,48.86373,2.31973
100056046-101056046,Pont des Invalides S-N,100056046,Pont des Invalides,101056046,S-N,2019-11-06,Y2H21015014,48.86279,2.31055
100056047-101056047,Pont de la Concorde S-N,100056047,Pont de la Concorde,101056047,S-N,2019-11-08,Y2H19070356,48.86382,2.32006
100056223-101056223,Pont des Invalides N-S,100056223,Pont des Invalides,101056223,N-S,2019-11-07,Y2H19070365,48.86281,2.31037
100056225-101056225,3 avenue de la Porte D'Orléans (gare routière) S-N,100056225,avenue de la Porte D'Orléans,101056225,S-N,2019-11-06,,48.82108,2.32537
100056226-103056226,Face au 8 avenue de la porte de Charenton SE-NO,100056226,avenue de la porte de Charenton,103056226,SE-NO,2019-11-01,Y2H19070370,48.830331,2.400551
100056226-104056226,Face au 8 avenue de la porte de Charenton NO-SE,100056226,avenue de la porte de Charenton,104056226,NO-SE,2019-11-01,Y2H19070370,48.830331,2.400551
100056327-103056327,Face au 4 avenue de la porte de Bagnolet E-O,100056327,avenue de la porte de Bagnolet,103056327,E-O,2019-11-06,Y2H19070372,48.86485,2.40966
100056327-104056327,Face au 4 avenue de la porte de Bagnolet O-E,100056327,avenue de la porte de Bagnolet,104056327,O-E,2019-11-06,Y2H19070372,48.86485,2.40966
100056329-103056329,Pont Charles De Gaulle SO-NE,100056329,Pont Charles De Gaulle,103056329,SO-NE,2019-12-12,Y2H19070375,48.84223,2.36811
100056329-104056329,Pont Charles De Gaulle NE-SO,100056329,Pont Charles De Gaulle,104056329,NE-SO,2019-12-12,Y2H19070375,48.84223,2.36811
100056330-103056330,36 quai de Grenelle SO-NE,100056330,quai de Grenelle,103056330,SO-NE,2019-11-14,Y2H19070376,48.85174,2.28593
100056330-104056330,36 quai de Grenelle NE-SO,100056330,quai de Grenelle,104056330,NE-SO,2019-11-14,Y2H19070376,48.85174,2.28593
100056331-103056331,Face au 40 quai D'Issy SO-NE,100056331,quai D'Issy,103056331,SO-NE,2019-11-05,Y2H19070377,48.83428,2.26526
100056331-104056331,Face au 40 quai D'Issy NE-SO,100056331,quai D'Issy,104056331,NE-SO,2019-11-05,Y2H19070377,48.83428,2.26526
